id;idmaterial;fecha;hora;idUsuario;observaciones
;1;1998-01-28;18:24:21;;
;1;1998-01-28;18:25:09;;
;1;1998-07-06;16:46:01;;
;1;2002-03-18;8:42:30;;
;2;2002-02-26;19:13:33;;
;3;2002-02-26;19:14:21;;
;4;2002-02-26;19:15:53;;
;5;1997-12-03;12:32:12;;
;5;2001-07-24;9:25:56;;
;5;2002-03-14;19:20:32;;
;5;2002-03-14;19:24:06;;
;5;2002-09-10;19:27:19;;
;5;2003-01-13;9:15:53;;
;6;1998-01-28;18:24:24;;
;6;1998-01-28;18:25:10;;
;6;1998-07-06;16:46:02;;
;6;2002-03-18;8:46:17;;
;7;1998-07-06;11:38:23;;
;7;1998-07-06;16:39:07;;
;8;1998-07-06;16:39:23;;
;8;1998-07-06;16:43:03;;
;9;1997-11-19;10:41:50;;
;9;1997-11-19;11:40:33;;
;9;1997-11-28;21:17:14;;
;9;1998-07-06;10:57:31;;
;9;1998-07-06;17:47:54;;
;9;1998-10-21;19:10:13;;
;9;2001-12-07;11:05:57;;
;10;1997-11-28;21:19:32;;
;10;1998-07-06;10:56:53;;
;10;1998-10-21;19:10:20;;
;10;2001-12-07;11:21:30;;
;11;1999-01-22;16:55:15;;
;11;1999-01-22;16:57:06;;
;11;2001-07-24;9:29:42;;
;11;2002-03-14;19:26:47;;
;11;2002-03-14;19:29:49;;
;12;2001-11-09;18:45:48;;
;12;2001-11-09;18:46:46;;
;12;2002-03-14;19:27:01;;
;12;2002-03-14;19:30:07;;
;13;2001-07-24;9:34:01;;
;13;2002-03-14;19:27:14;;
;14;1998-01-28;18:24:21;;
;14;1998-01-28;18:25:09;;
;14;1998-01-28;19:38:21;;
;14;1998-07-06;16:46:01;;
;14;2002-03-15;20:01:51;;
;14;2002-03-15;20:03:00;;
;15;1998-01-07;13:19:38;;
;15;1998-01-20;11:51:26;;
;15;1998-07-06;16:46:00;;
;15;2002-03-15;20:01:11;;
;15;2002-03-15;20:02:41;;
;16;1998-01-28;18:24:23;;
;16;1998-01-28;18:25:10;;
;16;1998-01-28;18:45:54;;
;16;1998-07-06;16:46:01;;
;16;2002-03-18;8:46:42;;
;17;2006-02-15;11:14:18;;
;17;2006-02-21;12:54:07;;
;17;2006-02-21;12:55:16;;
;17;2006-02-21;12:55:40;;
;18;2006-02-15;11:14:18;;
;18;2006-02-21;12:54:31;;
;18;2006-02-21;12:55:48;;
;19;2006-02-15;11:14:18;;
;19;2006-02-21;12:54:45;;
;19;2006-02-21;12:55:55;;
;20;1998-01-13;13:00:09;;
;20;2003-07-18;13:14:08;;
;21;1997-09-30;21:35:40;;
;21;2003-07-18;13:41:28;;
;22;1997-09-30;20:49:49;;
;22;2003-07-21;13:18:52;;
;23;1997-09-30;20:55:08;;
;23;2003-07-21;13:19:34;;
;24;1997-09-30;20:52:03;;
;24;1998-07-07;10:06:28;;
;24;1998-07-07;10:06:41;;
;24;1998-07-07;10:08:10;;
;24;2003-07-21;13:27:06;;
;25;1997-09-30;20:56:04;;
;25;2003-07-21;13:26:21;;
;26;2003-07-21;13:27:48;;
;27;1997-09-30;19:25:12;;
;27;1997-09-21;22:32:52;;
;27;2000-01-24;19:15:22;;
;27;2000-11-20;9:45:47;;
;27;2001-01-15;19:42:47;;
;27;2003-07-17;13:16:34;;
;27;2003-07-18;12:20:04;;
;28;1997-09-30;19:33:06;;
;28;2000-01-24;19:15:38;;
;28;2000-11-20;9:49:44;;
;28;2000-11-20;10:26:44;;
;28;2000-12-13;19:17:13;;
;28;2001-01-15;19:43:21;;
;28;2003-07-17;13:17:04;;
;29;1997-09-30;19:23:42;;
;29;1998-01-15;19:33:35;;
;29;2000-01-24;19:16:15;;
;29;2000-11-20;9:44:38;;
;29;2000-11-20;10:16:19;;
;29;2003-07-17;13:17:30;;
;30;1997-09-30;19:41:59;;
;30;2000-01-24;19:18:28;;
;30;2000-11-20;9:05:04;;
;30;2000-11-20;9:35:08;;
;30;2001-01-15;19:45:57;;
;30;2003-07-17;13:17:56;;
;31;1997-09-30;19:40:57;;
;31;2000-01-24;19:19:30;;
;31;2000-11-20;9:47:00;;
;31;2001-01-15;19:46:15;;
;31;2003-07-17;13:12:20;;
;32;2003-07-18;13:18:44;;
;33;1997-09-30;19:38:33;;
;33;1998-01-15;19:33:59;;
;33;2000-01-24;19:19:53;;
;33;2000-11-20;9:48:29;;
;33;2000-11-20;10:26:03;;
;33;2001-01-15;19:46:40;;
;33;2003-07-17;13:12:47;;
;34;1997-09-30;19:43:39;;
;34;2000-01-24;19:20:14;;
;34;2000-11-20;9:43:12;;
;34;2001-01-15;19:47:03;;
;34;2003-07-17;13:18:20;;
;35;1997-09-30;19:49:56;;
;35;1998-01-15;19:34:11;;
;35;2000-01-24;19:20:32;;
;35;2000-11-20;9:40:56;;
;35;2001-01-15;19:47:34;;
;35;2003-07-18;13:16:49;;
;36;1997-11-05;16:50:55;;
;36;2003-07-21;12:34:45;;
;37;1997-11-05;16:53:26;;
;37;1997-11-05;16:55:27;;
;37;2003-07-21;12:30:40;;
;38;1997-11-05;17:44:39;;
;38;1997-11-05;17:49:48;;
;38;2003-07-21;12:33:08;;
;39;1998-01-14;12:58:03;;
;39;2000-01-25;17:56:31;;
